sgRNA	Gene	D1_MOI2_High	D1_MOI2_Low_Mid	D1_MOI2_Low	D1_MOI2_Mid_High	D2_MOI2_High	D2_MOI2_Low_Mid	D2_MOI2_Low	D2_MOI2_Mid_High	D1_MOI5_High	D1_MOI5_Low_Mid	D1_MOI5_Low	D1_MOI5_Mid_High	D2_MOI5_High	D2_MOI5_Low_Mid	D2_MOI5_Low	D2_MOI5_Mid_High	D3_MOI2_High	D3_MOI2_Low_Mid	D3_MOI2_Low	D3_MOI2_Mid_High	D4_MOI2_High	D4_MOI2_Low_Mid	D4_MOI2_Low	D4_MOI2_Mid_High	D3_MOI5_High	D3_MOI5_Low_Mid	D3_MOI5_Low	D3_MOI5_Mid_High	D4_MOI5_High	D4_MOI5_Low_Mid	D4_MOI5_Low	D4_MOI5_Mid_High
s_2344	ZNF85	1185	2879	3038	592	3399	5907	4582	3003	4721	3855	1344	2741	427	1551	2021	1134	2563	5792	6965	2561	2531	6306	8843	4788	2787	6295	5121	1264	3553	4150	6610	3161
s_4353	FOXP4	2411	5503	5138	1037	6332	8869	9080	7277	3141	16204	16704	2913	780	2737	2200	2531	3862	8363	20807	5099	3336	8392	11985	5952	3600	20573	12426	3074	4534	3481	6663	3899
s_2097	TGIF1	1192	4235	4217	966	5205	8371	7109	4680	7715	13546	9160	5921	835	1473	2169	1323	3658	4171	9772	2201	3918	7350	6833	9249	3180	8358	8010	1458	3737	4622	4399	4369
s_4566	ZNF563	1827	4578	3957	1068	6523	11804	13293	6747	4825	13123	15518	5428	1079	2544	2470	2684	3119	5734	14455	2952	5084	7799	11892	6801	3994	9806	8272	2082	6946	6510	5937	6847
s_486	MECOM	1015	2673	2883	620	4195	9663	7086	5337	3478	7847	9724	3784	665	1777	1978	1239	3100	5333	8772	2660	7703	7571	6300	3576	1463	5646	4649	1195	4305	5643	5041	4205
s_5227	ZNF506	1675	4442	4266	786	7587	9255	13834	5264	7566	17588	30769	5086	1082	1871	1653	2026	1551	5359	7613	2340	4174	8538	10157	3890	2849	8430	6830	1331	3257	4514	4566	4488
s_2585	TEAD2	1701	3175	4955	725	6388	5202	9778	3772	4022	4509	9397	2571	777	1714	1668	1862	3373	4707	8365	2615	3891	5834	6118	4815	2721	5979	6040	1386	3406	4325	6341	5208
s_2444	ZNF189	1491	4478	4367	814	5252	9140	7209	5751	4690	14658	14233	4209	826	2167	2407	1936	2234	4636	7188	2596	3987	5368	6825	3692	3665	8549	7970	1382	3553	4867	4612	5162
s_4822	NAIF1	1353	3808	3155	741	6285	5672	7711	4704	3904	8451	14108	3883	977	2053	3186	1971	2776	6045	18940	2089	3891	7821	6866	5837	2609	9295	6096	1628	3348	4466	5345	3980
s_1875	SPI1	1331	3868	2990	543	2297	7614	8581	4360	4314	16575	11187	3958	556	1439	1847	1095	2918	8151	8452	3386	2659	4020	6651	2878	2357	8118	4714	1268	2365	3762	6019	3187
